sku,name,category,gender,movement,price_suggested,status,description,cover_image_url
KNM-8845-RG,"Reloj Kino Elegance Rose Gold",Clásico,mujer,Cuarzo,2450.00,active,"Reloj elegante con correa de cuero genuino, caja de acero inoxidable con acabado rose gold. Resistente al agua 50m."
KNM-7721-BK,"Reloj Kino Sport Carbon Black",Deportivo,hombre,Automático,3200.00,active,"Reloj deportivo con caja de fibra de carbono, correa de caucho natural. Cronógrafo integrado. Resistente al agua 100m."
KNM-5530-SL,"Reloj Kino Classic Silver",Clásico,hombre,Cuarzo,1850.00,active,"Reloj clásico con esfera plateada, marcadores romanos. Correa de cuero marrón. Cristal de zafiro."
KNM-9910-GD,"Reloj Kino Luxury Gold Edition",Lujo,unisex,Automático,5600.00,active,"Edición limitada. Caja de oro 18k, movimiento suizo automático. Cristal de zafiro antirreflejo. Correa de piel de cocodrilo."
KNM-3345-WH,"Reloj Kino Minimal White",Casual,mujer,Cuarzo,1200.00,active,"Diseño minimalista con esfera blanca, caja de 36mm. Correa de malla milanesa. Ideal para uso diario."
KNM-6678-NV,"Reloj Kino Ocean Navy",Deportivo,hombre,Solar,2800.00,active,"Reloj solar eco-drive, esfera azul marino. Bisel giratorio unidireccional. Resistente al agua 200m."
KNM-4412-PK,"Reloj Kino Bloom Pink",Casual,mujer,Cuarzo,1450.00,active,"Esfera con diseño floral, caja de 32mm en tono rose. Correa de silicona suave. Cristal mineral."
KNM-1100-TN,"Reloj Kino Heritage Titanium",Clásico,hombre,Automático,4100.00,active,"Caja de titanio grado 2, peso ultraligero. Reserva de marcha 42 horas. Fondo de caja transparente."
KNM-2200-OLD,"Reloj Kino Vintage Edition",Clásico,unisex,Cuarzo,900.00,discontinued,"Modelo descontinuado. Edición retro de los años 80."
KNM-8800-CH,"Reloj Kino Chrono Pro",Deportivo,hombre,Cuarzo,2650.00,active,"Cronógrafo profesional con 3 subdiales. Taquímetro en bisel. Correa de acero con cierre de seguridad."
